station_id,bikes_available,docks_available,time
47,9,10,2013/11/01 18:53:01
47,9,10,2013/11/01 18:54:02
47,9,10,2013/11/01 18:55:01
47,9,10,2013/11/01 18:56:01
47,9,10,2013/11/01 18:57:01
47,9,10,2014/01/31 10:57:02
47,9,10,2014/01/31 10:58:02
47,9,10,2014/01/31 10:59:02
47,9,10,2014/01/31 11:00:02
47,9,10,2014/01/31 11:01:02
48,3,12,2013/11/01 18:54:02
48,3,12,2013/11/01 18:55:01
48,3,12,2013/11/01 18:56:01
48,3,12,2013/11/01 18:57:01
48,3,12,2013/11/01 18:58:01
48,11,4,2014/01/31 10:58:02
48,11,4,2014/01/31 10:59:02
48,11,4,2014/01/31 11:00:02
48,11,4,2014/01/31 11:01:02
48,11,4,2014/01/31 11:02:02
49,9,10,2013/11/01 18:55:01
49,9,10,2013/11/01 18:56:01
49,9,10,2013/11/01 18:57:01
49,9,10,2013/11/01 18:58:01
49,9,10,2013/11/01 18:59:02
49,16,3,2014/01/31 10:59:02
49,16,3,2014/01/31 11:00:02
49,16,3,2014/01/31 11:01:02
49,16,3,2014/01/31 11:02:02
49,16,3,2014/01/31 11:03:02
50,20,3,2013/11/01 18:56:01
50,20,3,2013/11/01 18:57:01
50,20,3,2013/11/01 18:58:01
50,20,3,2013/11/01 18:59:02
50,21,2,2013/11/01 19:00:01
50,5,18,2014/01/31 11:00:02
50,5,18,2014/01/31 11:01:02
50,5,18,2014/01/31 11:02:02
50,5,18,2014/01/31 11:03:02
50,5,18,2014/01/31 11:04:03
51,3,16,2013/11/01 18:57:01
51,3,16,2013/11/01 18:58:01
51,3,16,2013/11/01 18:59:02
51,3,16,2013/11/01 19:00:01
51,3,16,2013/11/01 19:02:01
51,14,5,2014/01/31 11:01:02
51,14,5,2014/01/31 11:02:02
51,14,5,2014/01/31 11:03:02
51,14,5,2014/01/31 11:04:03
51,14,5,2014/01/31 11:05:02
39,15,4,2013/11/01 18:58:01
39,15,4,2013/11/01 18:59:02
39,15,4,2013/11/01 19:00:01
39,15,4,2013/11/01 19:02:01
39,15,4,2013/11/01 19:03:01
39,8,11,2014/01/31 11:02:02
39,8,11,2014/01/31 11:03:02
39,8,11,2014/01/31 11:04:03
39,8,11,2014/01/31 11:05:02
39,8,11,2014/01/31 11:06:03
54,11,4,2013/11/01 18:59:02
54,12,3,2013/11/01 19:00:01
54,11,4,2013/11/01 19:02:01
54,11,4,2013/11/01 19:03:01
54,11,4,2013/11/01 19:04:01
54,7,8,2014/01/31 11:03:02
54,7,8,2014/01/31 11:04:03
54,7,8,2014/01/31 11:05:02
54,7,8,2014/01/31 11:06:03
54,7,8,2014/01/31 11:07:01
55,13,10,2013/11/01 19:00:01
55,13,10,2013/11/01 19:02:01
55,13,10,2013/11/01 19:03:01
55,13,10,2013/11/01 19:04:01
55,13,10,2013/11/01 19:05:01
55,14,9,2014/01/31 11:04:03
55,14,9,2014/01/31 11:05:02
55,14,9,2014/01/31 11:06:03
55,14,9,2014/01/31 11:07:01
55,14,9,2014/01/31 11:08:02
56,4,15,2013/11/01 19:02:01
56,4,15,2013/11/01 19:03:01
56,4,15,2013/11/01 19:04:01
56,4,15,2013/11/01 19:05:01
56,4,15,2013/11/01 19:06:01
56,3,16,2014/01/31 11:05:02
56,3,16,2014/01/31 11:06:03
56,3,16,2014/01/31 11:07:01
56,3,16,2014/01/31 11:08:02
56,3,16,2014/01/31 11:09:03
57,9,6,2013/11/01 19:03:01
57,9,6,2013/11/01 19:04:01
57,9,6,2013/11/01 19:05:01
57,9,6,2013/11/01 19:06:01
57,9,6,2013/11/01 19:08:01
57,5,10,2014/01/31 11:06:03
57,5,10,2014/01/31 11:07:01
57,5,10,2014/01/31 11:08:02
57,5,10,2014/01/31 11:09:03
57,5,10,2014/01/31 11:10:02
58,6,13,2013/11/01 19:04:01
58,6,13,2013/11/01 19:05:01
